GAP_between_Create_Last,TOTAL_EXPENSED_AMOUNT,APPROVED_AMT,PAID_IN_AMOUNT_ALLOCATION,EXPENSE_TYPE_DESC,CITY,Label
3,7368.11,5,5,4,1,1
0,2091.86,200,200,2,2,1
9,13475,2989,2989,26,2,1
9,26360.32,142.67,142.67,2,1,1
1,9816,58,58,2,1,1
0,6836.32,59.5,59.5,4,3,1
0,6836.32,119,119,2,3,1
0,9174.89,191,191,1,1,1
9,26360.32,475.42,475.42,1,1,1
9,26360.32,185.21,185.21,4,1,1
12,24254.26,2868,2868,1,1,1
5,12933.3,335,335,1,18,1
1,9961,1500,1500,13,19,1
0,15327.4,38,38,2,1,1
0,15327.4,25,25,2,1,1
2,4248,404,404,1,9,1
0,15327.4,14,14,2,1,1
0,14607,90,90,2,2,1
0,15327.4,29,29,2,1,1
1,24969.06,100,100,6,1,1
4,8442.36,59,59,1,2,1
1,9333.3,246,246,26,4,1
6,19415.3,66,66,26,1,1
0,1656.5,121.5,121.5,1,1,1
0,8305.71,72,72,26,20,1
8,8396,3477,3477,26,21,1
27,7255,882,882,9,15,1
1,21716.35,3738,3738,1,1,1
49,6652.68,550,550,2,1,1
49,6652.68,27,27,2,1,1
49,6652.68,20,20,2,1,1
27,7255,1500,1500,2,15,1
27,7255,486,486,1,15,1
1,22982.65,125,125,2,1,1
1,21716.35,178,178,1,1,1
0,16585.28,150,150,2,1,1
5,12804.6,100,100,6,1,1
5,12804.6,101,101,2,1,1
0,16677.75,71,71,1,1,1
6,24982.1,85,85,26,2,1
0,6836.32,100,100,6,3,1
1,21694,159,159,1,1,1
49,6652.68,94.5,94.5,4,1,1
49,6652.68,43,43,2,1,1
49,6652.68,11,11,2,1,1
1,2033,193,193,21,22,1
1,14980.2,29,29,2,2,1
22,15411.3,133,133,2,1,1
1,14980.2,310,310,26,2,1
0,7892.95,48,48,2,13,1
12,18959.6,437.5,437.5,1,15,1
0,9496,175,175,1,2,1
8,7965.3,600,600,4,2,1
7,8883.7,100,100,6,7,1
26,5982.4,4987,4987,1,23,1
26,5982.4,995.4,995.4,26,23,1
2,9470.7,160,160,12,24,1
6,11913.2,100,100,6,16,1
3,7368.11,14,14,2,1,1
3,7368.11,19,19,2,1,1
0,16832.07,756,756,2,7,1
24,23136.8,65.5,65.5,4,1,1
9,3507,59,59,1,4,1
7,12386.71,78.5,78.5,1,25,1
0,2262,75,75,2,1,1
6,5524.49,910,910,1,26,1
2,17499.12,50,50,2,1,1
10,7593.5,139.5,139.5,4,1,1
1,7538.97,116.8,116.8,2,1,1
0,10597.27,100,100,6,7,1
8,12435,2760,2760,1,27,1
2,4538.6,450,450,11,28,1
0,6297,1056,1056,2,19,1
7,8149,2510,2510,1,9,1
34,5990.2,912,912,1,5,1
34,5990.2,30,30,26,5,1
52,5395.5,322,322,2,29,1
52,5395.5,150,150,4,29,1
52,5395.5,30,30,4,29,1
0,2000,205,205,1,22,1
0,15327.4,47,47,2,1,1
0,15327.4,135.5,135.5,4,1,1
0,14607,42,42,2,2,1
0,15327.4,239,239,1,1,1
4,8442.36,105,105,2,2,1
4,8442.36,16,16,2,2,1
1,24969.06,1740,1740,2,1,1
1,24925.1,42,42,1,1,1
7,8883.7,287,287,4,7,1
0,9960,71,71,1,19,1
52,11789.05,653,653,1,1,1
47,19300.31,100,100,6,2,1
9,2618,2618,2618,1,10,1
12,7909.1,2960,2960,1,30,1
0,11171,2888,2888,1,2,1
0,4011.78,50,50,6,2,1
6,31894.6,859,859,1,11,1
0,24991.55,1340,1340,26,31,1
28,4833.66,22,22,2,1,1
5,12839,534,534,2,5,1
5,12839,6964,6964,1,5,1
5,12839,141,141,1,5,1
5,12839,3000,3000,9,5,1
5,12839,2200,861.08,8,5,1
5,12839,2200,1338.92,8,5,1
0,2067,2067,2067,1,32,1
47,19300.31,100,100,6,2,1
28,4833.66,22,22,2,1,1
7,8883.7,23,23,2,7,1
7,8883.7,224,224,1,7,1
0,11012,14,14,2,1,1
7,8883.7,23,23,2,7,1
7,15467.5,63,63,26,9,1
5,9756.6,149,149,1,14,1
0,24439.78,20,20,2,33,1
35,1587,1587,1587,1,34,1
0,24439.78,43,43,4,33,1
0,16832.07,672,672,1,7,1
0,16832.07,104.5,104.5,4,7,1
7,11625.6,146,146,1,35,1
1,7538.97,166.2,166.2,2,1,1
8,14598.8,1730,1730,10,9,1
2,23270,269,269,1,2,1
5,17806,3000,3000,1,2,1
70,12157,14,14,2,2,1
70,12157,14,14,2,2,1
0,900.5,275.5,275.5,26,36,1
18,8225.12,103,103,8,37,1
0,900.5,625,625,1,36,1
2,22994.15,72.8,72.8,2,4,1
6,9840.8,127,127,2,2,1
2,22994.15,67,67,2,4,1
6,9840.8,65,65,2,2,1
34,5990.2,192,192,1,5,1
32,8937.71,75,75,4,38,1
15,5197.73,200,200,1,9,1
3,10815.32,117,117,4,1,1
25,16529,22,22,11,28,1
3,10815.32,30,30,4,1,1
3,10815.32,2304,2304,1,1,1
25,16529,22,22,11,28,1
2,9094.5,121,121,1,1,1
3,12134.2,281,281,3,39,1
2,10414.5,12,12,11,1,1
0,41018.65,191,191,2,1,1
0,16832.07,104.5,104.5,4,7,1
6,6968.81,100,100,6,1,1
8,4056.1,100,100,18,40,1
22,15411.3,14.3,14.3,2,1,1
0,4221.9,229.5,229.5,4,1,1
22,9487.24,170,170,11,2,1
22,9487.24,16,16,2,2,1
5,9344.8,100,100,18,40,1
0,4221.9,30,30,15,1,1
0,6159,150,150,26,1,1
39,11124,600,600,2,41,1
2,20727,2916,2916,1,1,1
39,11124,600,600,2,41,1
39,11124,600,600,2,41,1
39,11124,600,600,2,41,1
39,11124,600,600,2,41,1
1,21694,993,993,1,1,1
5,3603.43,100,100,18,40,1
3,24182.5,233,233,1,42,1
0,9174.89,160,160,2,1,1
0,9174.89,488,488,2,1,1
0,14410.71,57,57,2,2,1
0,9174.89,44,44,1,1,1
1,7822.47,229.5,229.5,4,1,1
6,15677.18,265,265,2,1,1
19,10311.4,235,235,1,1,1
0,9174.89,1000,1000,2,1,1
1,7822.47,140,140,2,1,1
0,14519.9,7560,7560,16,2,1
2,18746.3,100,100,6,33,1
4,6948.2,354,354,1,15,1
34,5990.2,100,100,26,5,1
34,5990.2,212,212,1,5,1
28,17544.4,562,562,1,1,1
15,5197.73,219,219,1,9,1
1,24969.06,61,61,1,1,1
1,24969.06,100,100,6,1,1
1,7707.94,610,610,1,2,1
4,19181.6,206,206,2,10,1
0,633,361,361,1,1,1
3,16177.38,1908,1908,1,43,1
2,4711,184,184,1,30,1
0,5973.6,771,771,1,15,1
0,6250.82,317,317,1,2,1
4,11522.5,91,91,1,14,1
0,9375,810,810,1,30,1
23,9023.84,85,85,2,1,1
23,9023.84,70,70,4,1,1
23,9023.84,64,64,2,1,1
18,13602,2843,2843,1,22,1
0,3021.5,168,168,1,1,1
8,3163.5,100,100,18,40,1
20,24094.55,255,255,1,15,1
1,6062,294,294,1,7,1
0,16832.07,104.5,104.5,4,7,1
10,7593.5,621,621,2,1,1
0,24439.78,100,100,4,33,1
0,24439.78,10,10,2,33,1
0,24439.78,285,285,1,33,1
0,24439.78,25.6,25.6,2,33,1
0,24439.78,100,100,6,33,1
0,17899.7,1000,1000,26,2,1
10,7593.5,139.5,139.5,4,1,1
1,7538.97,20.6,20.6,2,1,1
18,7892,992,992,1,41,1
0,24439.78,20,20,2,33,1
2,4538.6,225,225,1,28,1
0,24439.78,268,268,1,33,1
0,24439.78,150,150,2,33,1
3,24835.1,583,583,1,10,1
11,6879.35,294,294,2,5,1
7,8883.7,30,30,2,7,1
7,8883.7,163,163,1,7,1
7,8883.7,100,100,6,7,1
0,10731.33,10,10,15,1,1
4,19181.6,207,207,2,10,1
25,16529,22,22,11,28,1
3,10815.32,1150,1150,2,1,1
1,24969.06,100,100,6,1,1
1,24969.06,905,905,1,1,1
0,9560.03,256,256,1,30,1
0,12498.6,75,75,12,37,1
0,1531,27,27,2,2,1
0,17187,388,388,1,15,1
0,9064.34,474,474,21,1,1
77,6988.6,782,782,1,44,1
0,6250.82,317,317,1,2,1
13,3663.3,109.3,109.3,1,1,1
1,17363.8,604.1,604.1,26,4,1
25,12418.65,858,858,1,1,1
0,6534.3,52,52,2,2,1
0,6534.3,128.5,128.5,4,2,1
1,20275,198,198,1,1,1
3,17487,2160,2160,1,30,1
13,11732.74,185,185,2,2,1
0,807,263,263,7,15,1
0,6836.32,100,100,6,3,1
0,6836.32,570,570,2,3,1
49,6652.68,729,729,1,1,1
49,6652.68,42,42,2,1,1
1,9816,48,48,2,1,1
1,254.37,254.37,254.37,17,45,1
1,7822.47,118,118,2,1,1
1,7822.47,229.5,229.5,4,1,1
1,9816,92,92,2,1,1
0,6836.32,94.5,94.5,4,3,1
6,15677.18,23,23,2,1,1
43,8294,209,209,1,46,1
43,8294,92,92,4,46,1
0,14519.9,154,154,1,2,1
5,12933.3,143,143,1,18,1
1,9961,286,286,26,19,1
1,9961,975,975,1,19,1
28,17544.4,428,428,1,1,1
34,5990.2,53,53,26,5,1
22,15411.3,205,205,2,1,1
1,14980.2,1050,1050,25,2,1
1,14980.2,39,39,2,2,1
1,3838.1,261,261,17,47,1
22,15411.3,530,530,2,1,1
22,15411.3,101,101,2,1,1
22,15411.3,141,141,2,1,1
0,4221.9,229.5,229.5,4,1,1
0,4221.9,80,80,15,1,1
1,21716.35,689.2,689.2,2,1,1
0,25445.47,102.3,102.3,1,19,1
6,6968.81,50,50,6,1,1
19,8578.89,770,770,9,11,1
10,28845.52,776,776,2,48,1
6,6968.81,250,250,4,1,1
0,11117.8,108,108,2,1,1
0,2416,462,462,1,7,1
13,2824.5,100,100,18,40,1
0,15328,381,381,1,49,1
0,18485.9,137,137,1,1,1
1,26655.56,238.5,238.5,2,1,1
22,13898.18,90,90,12,4,1
0,24439.78,100,100,2,33,1
5,23094,93,93,1,1,1
4,1718,120,120,1,1,1
39,11124,650,650,2,41,1
39,11124,2040,2040,5,41,1
39,11124,2040,2040,5,41,1
39,11124,2294,2294,3,41,1
0,2178.38,91,91,1,1,1
3,24182.5,54.5,54.5,4,42,1
1,9816,135,135,2,1,1
3,18060.6,201.7,201.7,26,1,1
0,14410.71,183,183,1,2,1
26,17128.1,111.1,111.1,26,15,1
0,9174.89,44.5,44.5,1,1,1
0,14742.75,234.5,234.5,4,1,1
0,14938,999,999,1,50,1
6,10306.8,50,50,6,2,1
8,19597.52,251,251,4,51,1
8,19597.52,251,251,4,51,1
6,6968.81,50,50,2,1,1
6,6968.81,50,50,6,1,1
0,26585.7,2963,2963,1,39,1
2,4489.16,184,184,1,15,1
0,1751.2,28,28,2,1,1
0,1880,206,206,1,2,1
9,14256.46,409,409,1,10,1
1,9450.7,95,95,4,9,1
5,1774,1774,1774,1,14,1
0,10597.27,100,100,1,7,1
22,2906.17,263.2,263.2,26,52,1
3,31111.9,395,395,4,1,1
6,18997.5,406,406,1,2,1
0,11568,276,276,1,22,1
7,4920,269,269,1,2,1
0,2262,14,14,2,1,1
3,25348.9,97.36,97.36,19,1,1
3,25348.9,1563.38,1563.38,3,1,1
3,25348.9,120.98,120.98,1,1,1
0,1999.31,58.5,58.5,1,22,1
9,3507,297,297,1,4,1
21,10598.19,26,26,26,39,1
3,5400,230,230,1,24,1
0,41018.65,76,76,2,1,1
0,41018.65,74,74,2,1,1
2,4662,11,11,2,37,1
5,4001.45,398.5,398.5,4,9,1
1,5430.28,50,50,4,19,1
0,1645.5,49.5,49.5,4,1,1
10,7593.5,219.5,219.5,4,1,1
0,10597.27,81,81,2,7,1
0,1645.5,17,17,4,1,1
3,31111.9,778,778,4,1,1
59,1058,180,180,1,53,1
3,10333.5,86.5,86.5,1,54,1
6,9840.8,30,30,2,2,1
0,9003,165,165,4,1,1
6,9840.8,30,30,2,2,1
0,5412,425,425,1,1,1
0,15327.4,18,18,2,1,1
0,15327.4,58,58,2,1,1
25,10687.06,900,900,4,2,1
2,22994.15,258,258,2,4,1
6,7480.5,246,246,1,15,1
37,7623.6,500,500,26,55,1
0,1531,31,31,2,2,1
0,7497,229.5,229.5,4,1,1
1,45788,300,300,2,2,1
91,14555.91,90,75,13,2,1
91,14555.91,90,15,13,2,1
18,8225.12,203,203,8,37,1
15,4671.19,103,103,2,1,1
1,45788,400,400,2,2,1
1,45788,300,300,2,2,1
1,45788,300,300,2,2,1
51,12188.3,499,499,16,15,1
0,12498.6,60,60,12,37,1
10,7057.6,309,309,1,2,1
0,5973.6,176.8,176.8,2,15,1
0,6250.82,144,144,1,2,1
15,12007,154,154,1,2,1
3,25348.9,622.9,622.9,2,1,1
35,15315.9,581.7,581.7,7,15,1
0,6534.3,542,542,11,2,1
0,11012,76,76,2,1,1
70,12157,41,41,2,2,1
9,24168.3,381,381,1,2,1
142,12330.72,41,41,2,2,1
0,13934.73,26,26,2,56,1
8,7845.4,164,164,17,22,1
25,12418.65,396,396,1,1,1
70,12157,21,21,2,2,1
0,1645.5,34,34,4,1,1
11,18174.64,195,195,1,2,1
0,2953.2,156,156,1,11,1
0,14019.44,1310,1310,2,1,1
1,10848.5,2940,2940,1,24,1
0,4187.9,43,43,2,19,1
1,10848.5,409,409,4,24,1
0,4187.9,24,24,2,19,1
0,15517.4,159,159,1,18,1
0,23290.2,449,449,1,57,1
0,10403,100,100,12,50,1
2,9094.5,59,59,1,1,1
0,15903,237,237,1,1,1
0,4411.2,63,63,1,1,1
3,25348.9,747.48,747.48,2,1,1
3,12763,856,856,1,58,1
3,25348.9,132.11,132.11,2,1,1
0,6534.3,75,75,4,2,1
3,25348.9,276.47,276.47,1,1,1
3,25348.9,604.28,604.28,2,1,1
3,25348.9,747.48,747.48,2,1,1
3,25348.9,50.98,50.98,1,1,1
0,2895.9,76,76,4,48,1
4,22505,96,96,1,2,1
0,757,78,78,2,2,1
0,12241.41,34.5,34.5,4,9,1
0,22033.5,416,416,1,1,1
1,2422.02,38,38,4,59,1
2,5446,348,348,17,24,1
4,1718,647,647,7,1,1
0,12241.41,57,57,2,9,1
21,4864.78,316.6,316.6,7,15,1
0,6159,271,271,7,1,1
0,6159,306,306,1,1,1
3,6649.54,403.74,403.74,7,60,1
4,4434.24,156,156,1,41,1
2,4922.04,151,151,2,1,1
1,8238,815,815,2,1,1
3,15924.8,425.1,425.1,7,61,1
0,12241.41,12,12,2,9,1
9,17297.05,731,731,1,2,1
0,371.2,300,300,26,4,1
0,371.2,71.2,71.2,26,4,1
8,9580,300,300,7,23,1
0,14923.93,113.45,113.45,18,1,1
1,2740,2740,2740,1,53,1
7,2446,390,390,7,1,1
6,24982.1,58,58,26,2,1
5,12804.6,100,100,6,1,1
1,21694,137,137,1,1,1
6,11145.6,199,199,7,62,1
35,20781.63,300,300,7,1,1
21,9409.9,1449,1449,1,41,1
14,20849,2994,2994,1,11,1
0,14923.93,443.62,443.62,7,1,1
1,6567,9,9,4,63,1
1,6567,13,13,4,63,1
0,1707.5,26,26,4,1,1
42,2260.12,346.18,346.18,7,1,1
1,21694,117,117,1,1,1
16,24711.22,248,248,2,10,1
0,8621.4,120,120,2,19,1
35,5799.3,112.9,112.9,1,16,1
5,5647.5,258,258,1,24,1
23,13970.5,5600,5600,9,13,1
1,24969.06,100,100,6,1,1
0,9962.36,293.5,293.5,4,2,1
0,9962.36,19,19,2,2,1
2,12905.6,2488,2488,1,4,1
18,14464.6,431,431,9,4,1
3,20905,362,362,1,2,1
0,1569.5,16,16,2,1,1
15,3312,7,7,2,14,1
48,14211.39,126,126,1,52,1
48,14211.39,139.6,139.6,26,52,1
36,1619,124,124,2,1,1
83,24968.8,942.4,942.4,26,9,1
2,18746.3,100,100,6,33,1
40,11249.1,76,76,1,44,1
0,995,995,995,1,3,1
0,1325.84,337,337,1,1,1
13,3647.63,210,210,17,1,1
5,24938,100,100,6,8,1
5,24938,34,34,4,8,1
0,12078.5,542,542,1,15,1
1,14490.05,72,72,1,1,1
0,6582,2718,2718,1,3,1
36,1619,15,15,2,1,1
33,5515.5,203,203,1,5,1
2,3339,567,567,31,2,1
10,14632.6,177.6,177.6,1,1,1
10,14632.6,1345,1345,1,1,1
0,9962.36,13,13,2,2,1
0,6419,100,100,18,19,1
0,4338.6,500,500,1,1,1
37,21782.91,185,185,16,18,1
1,9583.7,131,131,1,4,1
1,6567,400,400,1,63,1
0,4664,286,286,1,15,1
0,2971.5,71.5,71.5,4,1,1
4,16485.25,128,128,1,1,1
7,12471,10,10,4,64,1
7,12471,10,10,4,64,1
0,2971.5,71.5,71.5,4,1,1
0,2971.5,260,260,1,1,1
6,24982.1,186,186,26,2,1
0,15077.7,946.2,946.2,26,9,1
1,21694,218,218,1,1,1
1,3906,1908,1908,31,2,1
0,10655,347,347,7,1,1
1,10802.6,218.5,218.5,4,11,1
1,10802.6,30,30,2,11,1
1,10802.6,174,174,4,11,1
1,5604.28,214,214,7,1,1
4,3568,489,489,7,1,1
12,18857.91,9326.91,9326.91,23,1,1
0,8936,1053,1053,7,1,1
0,16171.97,398,398,1,19,1
102,6054.91,606,606,7,1,1
0,1272.51,63.5,63.5,4,14,1
0,2327.65,386,386,7,1,1
4,6000.76,370,370,7,1,1
1,3377.54,60,60,13,2,1
52,7367,130,130,7,65,1
0,4968.7,1327,1327,1,15,1
15,14837.77,160,160,12,30,1
2,11388.3,75,75,2,1,1
0,12078.5,82,82,1,15,1
0,15743.42,329,329,2,66,1
0,15743.42,19.5,19.5,4,66,1
1,14649,727,727,1,1,1
7,19795.63,3483,3483,26,21,1
36,1619,61,61,2,1,1
11,12800.59,24,24,2,1,1
11,12800.59,31,31,2,1,1
28,17544.4,298,298,1,1,1
33,5515.5,113,113,26,5,1
33,5515.5,782,782,1,5,1
33,5515.5,112,112,26,5,1
0,11839.45,7,7,2,11,1
10,14632.6,80,80,4,1,1
11,12800.59,21,21,2,1,1
2,17176,263,263,1,8,1
42,10350.97,17,17,2,15,1
3,9761.5,143,143,1,67,1
1,24969.06,239,239,2,1,1
33,5515.5,474,474,1,5,1
48,24084.3,2440,2440,26,68,1
0,14410.71,80,80,2,2,1
0,2962.1,26,26,4,69,1
0,2962.1,18,18,2,69,1
15,24901,25.5,25.5,1,10,1
25,24944,348,348,1,7,1
27,17127.1,67,67,1,39,1
0,2962.1,26,26,4,69,1
29,15819.5,457.7,457.7,26,18,1
3,9458.59,8,8,2,30,1
2,18393.9,2580,2580,1,26,1
0,2962.1,64,64,4,69,1
0,755,50,50,6,11,1
6,10306.8,27,27,2,2,1
1,7822.47,29,29,2,1,1
2,18746.3,49.4,49.4,2,33,1
18,14464.6,1497,1497,9,4,1
14,20940,992,992,1,44,1
1,5330.78,20,20,2,15,1
48,14211.39,75,75,4,52,1
9,14343.7,100,100,6,70,1
1,12092.4,30,30,2,1,1
1,25000,50,50,1,2,1
18,16010.7,421,421,26,11,1
3,24268,565,565,1,2,1
18,14464.6,184,184,1,4,1
15,3312,9,9,2,14,1
15,14837.77,100,100,6,30,1
0,3060.3,298,298,1,2,1
25,10687.06,50,50,2,2,1
5,1000,60,60,26,2,1
0,21840.01,59.5,59.5,4,1,1
1,21790.32,60,60,2,1,1
22,9487.24,12,12,2,2,1
0,3344,33,33,1,1,1
0,4221.9,72,72,2,1,1
22,9487.24,16,16,2,2,1
1,9583.7,44,44,2,4,1
1,9583.7,745,745,4,4,1
0,4221.9,47,47,2,1,1
0,4221.9,120,120,2,1,1
0,25565,310,310,7,8,1
1,2422.02,13.6,13.6,2,59,1
1,6567,10.5,10.5,4,63,1
0,3344,34,34,1,1,1
1,9583.7,100,100,2,4,1
1,8238,234,234,1,1,1
1,8552.3,1998,1998,1,55,1
1,2422.02,109.5,109.5,4,59,1
0,16677.75,48,48,1,1,1
4,4986,33,33,2,1,1
40,1217,99,99,1,51,1
18,23922.9,2873,2873,1,14,1
0,16677.75,120,120,2,1,1
1,6567,25.5,25.5,4,63,1
1,6567,27,27,4,63,1
1,6567,13,13,4,63,1
27,9119.4,1323,1323,1,15,1
11,14096.2,17,17,2,23,1
1,7822.47,22,22,2,1,1
0,2962.1,18.5,18.5,2,69,1
1,9816,189,189,2,1,1
0,5278.09,42,42,2,19,1
0,5278.09,35,35,2,19,1
17,11497.24,481.74,481.74,7,2,1
0,2946,117,117,4,1,1
0,2946,55,55,1,1,1
0,13171.82,131,131,4,48,1
5,24938,34,34,4,8,1
16,24711.22,257,257,2,10,1
5,24938,100,100,6,8,1
16,5091.55,210,210,2,30,1
23,7678.9,404.5,404.5,7,48,1
1,6567,900,900,1,63,1
0,16677.75,650,650,2,1,1
23,7678.9,389,389,7,48,1
0,15517.4,1160,1160,1,18,1
0,9962.36,900,900,2,2,1
49,38947.42,38,38,2,1,1
10,23969.42,148,148,2,1,1
0,9573,246,246,1,1,1
0,529,78,78,1,1,1
3,6958.82,153,153,2,15,1
3,13816.5,167,167,2,1,1
3,13816.5,577,577,1,1,1
0,4256.99,149,149,2,1,1
0,18485.9,359,359,1,1,1
1,11039.87,332,332,1,71,1
0,21840.01,5704,5704,1,1,1
0,21840.01,54.5,54.5,4,1,1
0,21840.01,690,690,2,1,1
14,19210.4,302,302,7,15,1
6,7023.6,235,235,1,30,1
0,21840.01,109,109,4,1,1
0,4221.9,24,24,2,1,1
3,13816.5,122,122,1,1,1
1,10802.6,218.5,218.5,4,11,1
4,14621.5,238,238,4,72,1
1,14396.97,510,510,1,2,1
0,11117.8,54,54,2,1,1
0,11117.8,74,74,2,1,1
0,11117.8,18,18,2,1,1
0,11117.8,26,26,2,1,1
0,4256.99,100,100,6,1,1
0,15614.21,146,146,1,73,1
44,12232,334,334,1,74,1
1,1221,58,58,2,75,1
1,1221,175,175,4,75,1
1,1221,59,59,2,75,1
1,1221,4,4,4,75,1
0,8965.35,33,33,2,1,1
6,22611,186,186,1,46,1
2,4494.8,370,370,17,24,1
0,8965.35,18,18,2,1,1
0,1759,25,25,2,1,1
7,17901.1,2471,2471,26,10,1
22,3017.28,191.28,191.28,7,16,1
0,1759,25,25,2,1,1
18,14464.6,20,20,2,4,1
9,14343.7,100,100,6,70,1
1,5330.78,27,27,2,15,1
8,20086,2626,2626,1,1,1
0,11807.74,284,284,1,76,1
0,15743.42,59,59,4,66,1
0,5606.35,186,186,13,1,1
6,6288.56,36,36,2,19,1
6,6288.56,12,12,2,19,1
6,6288.56,16,16,2,19,1
4,3655.5,22,22,2,1,1
6,10306.8,210,210,13,2,1
0,755,123.5,123.5,4,11,1
0,755,50,50,6,11,1
6,11897.1,85.5,85.5,4,8,1
6,10306.8,50,50,6,2,1
21,7315.85,24,24,2,5,1
0,3847.46,62,62,2,2,1
0,14410.71,86,86,2,2,1
0,5371,600,600,2,15,1
0,5371,463,463,1,15,1
65,7188.1,127.4,127.4,26,77,1
2,3653.13,158,158,1,33,1
0,14454,100,100,6,60,1
9,5948.02,72,72,1,1,1
2,14491.72,237,237,1,15,1
0,14454,285,285,1,60,1
29,18485.7,1140,1140,2,18,1
10,22574.29,2484,2484,26,78,1
14,24993.93,2550,2550,1,2,1
0,14454,220,220,2,60,1
6,6288.56,380,380,1,19,1
6,6288.56,285,285,1,19,1
6,6288.56,32,32,2,19,1
29,18485.7,33.8,33.8,26,18,1
49,38947.42,38,38,19,1,1
0,11839.45,20,20,4,11,1
0,11839.45,75,75,4,11,1
37,7623.6,9.9,9.9,4,55,1
25,10687.06,76,76,1,2,1
9,24902.66,1046,1046,1,2,1
38,378,124.5,124.5,4,79,1
38,378,50,50,6,79,1
2,25923.2,151,151,1,8,1
25,10687.06,89,89,2,2,1
25,10687.06,14,14,2,2,1
36,1619,35,35,2,1,1
0,12078.5,2632,2632,1,15,1
0,15743.42,11,11,2,66,1
2,11388.3,15,15,2,1,1
2,11388.3,100,100,2,1,1
26,18698.28,60,60,26,23,1
0,12078.5,55,55,1,15,1
6,9840.8,53,53,4,2,1
0,2882,1000,1000,7,10,1
6,9840.8,314.5,314.5,4,2,1
6,9840.8,40,40,2,2,1
0,21668,325,325,1,76,1
2,11388.3,104,104,2,1,1
2,11388.3,100,100,6,1,1
1,12092.4,659,659,1,1,1
1,4418,259,259,1,1,1
8,5790.7,238,238,1,2,1
1,2568.74,237,237,1,80,1
12,20650.78,512,512,4,70,1
11,18562,304,304,1,2,1
48,14211.39,480,480,1,52,1
48,14211.39,803,803,1,52,1
0,13919.5,90,90,12,4,1
1,12092.4,34,34,2,1,1
0,4411.2,57,57,1,1,1
2,15141.1,22,22,2,45,1
2,15141.1,41,41,2,45,1
2,15141.1,18,18,2,45,1
15,21982.5,163,163,1,2,1
2,12293.41,55,55,4,81,1
2,12293.41,100,100,6,81,1
0,11839.45,160,160,12,11,1
28,17544.4,594,594,1,1,1
